,ISBN No.,Candidate Name,Candidate Designation,University,Candidate Title,Chapter Name,fChapter Name,Book Title,Publication Date,Publication Name
1974,978-81-978432-0-4,Mr. Kapil Jain,"Associate Professor, Dept of EC",ITM Gwalior,Contributor,Simulation-Based Training for Obstetric Emergencies: Bridging Theory and Practice,SimulationBased Training for Obstetric Emergencies Bridging Theory and Practice,EMERGING TRENDS OF ENGINEERINGAND TECHNOLOGY BASED INNOVITATION IN CHILD CARE,"Tuesday, January 14, 2020",Xoffencer International Publication
1975,978-81-978432-0-4,Mr. Kapil Jain,"Associate Professor, Dept of EC",ITM Gwalior,Contributor,Nanotechnology Applications in Maternal and Neonatal Health: Potential and Challenges,Nanotechnology Applications in Maternal and Neonatal Health Potential and Challenges,EMERGING TRENDS OF ENGINEERINGAND TECHNOLOGY BASED INNOVITATION IN CHILD CARE,"Tuesday, January 14, 2020",Xoffencer International Publication
1976,978-81-978432-0-4,Dr. Satyendra Singh Chauhan,"Professor, Dept of Physics",ITM Gwalior,Contributor,Nanotechnology Applications in Maternal and Neonatal Health: Potential and Challenges,Nanotechnology Applications in Maternal and Neonatal Health Potential and Challenges,EMERGING TRENDS OF ENGINEERINGAND TECHNOLOGY BASED INNOVITATION IN CHILD CARE,"Tuesday, January 14, 2020",Xoffencer International Publication
1977,978-81-978432-0-4,Dr. Manoj Mishra,"Professor, Dept of Humanities",ITM Gwalior,Contributor,Nanotechnology Applications in Maternal and Neonatal Health: Potential and Challenges,Nanotechnology Applications in Maternal and Neonatal Health Potential and Challenges,EMERGING TRENDS OF ENGINEERINGAND TECHNOLOGY BASED INNOVITATION IN CHILD CARE,"Tuesday, January 14, 2020",Xoffencer International Publication
1978,978-81-978432-0-4,Ms. Sapna Kushwah,"Asst. Professor, Dept of CSE",ITM Gwalior,Contributor,Nanotechnology Applications in Maternal and Neonatal Health: Potential and Challenges,Nanotechnology Applications in Maternal and Neonatal Health Potential and Challenges,EMERGING TRENDS OF ENGINEERINGAND TECHNOLOGY BASED INNOVITATION IN CHILD CARE,"Tuesday, January 14, 2020",Xoffencer International Publication
1979,978-81-978432-0-4,Dr. Jitendra Singh Kushwah,"Associate Professor, Dept of ME",ITM Gwalior,Contributor,Mechanical Devices for Non-Invasive Monitoring of Fetal Heart Rate Variability,Mechanical Devices for NonInvasive Monitoring of Fetal Heart Rate Variability,EMERGING TRENDS OF ENGINEERINGAND TECHNOLOGY BASED INNOVITATION IN CHILD CARE,"Tuesday, January 14, 2020",Xoffencer International Publication
1980,978-81-978432-0-4,Ms. Neelam Joshi,"Asst. Professor, Dept of CSE",ITM Gwalior,Contributor,Mechanical Devices for Non-Invasive Monitoring of Fetal Heart Rate Variability,Mechanical Devices for NonInvasive Monitoring of Fetal Heart Rate Variability,EMERGING TRENDS OF ENGINEERINGAND TECHNOLOGY BASED INNOVITATION IN CHILD CARE,"Tuesday, January 14, 2020",Xoffencer International Publication
1981,978-81-978432-0-4,Mr. Narendra Kumar Verma,"Asst. Professor, Dept of ME",ITM Gwalior,Contributor,Mechanical Devices for Non-Invasive Monitoring of Fetal Heart Rate Variability,Mechanical Devices for NonInvasive Monitoring of Fetal Heart Rate Variability,EMERGING TRENDS OF ENGINEERINGAND TECHNOLOGY BASED INNOVITATION IN CHILD CARE,"Tuesday, January 14, 2020",Xoffencer International Publication
1982,978-81-978432-0-4,Ms. Archana Tomar,"Asst. Professor, Dept of CSE",ITM Gwalior,Contributor,Robotic Assistance in Cesarean Section: Safety Efficacy And Patient Outcomes,Robotic Assistance in Cesarean Section Safety Efficacy And Patient Outcomes,EMERGING TRENDS OF ENGINEERINGAND TECHNOLOGY BASED INNOVITATION IN CHILD CARE,"Tuesday, January 14, 2020",Xoffencer International Publication
1983,978-81-978432-0-4,Ms. Neelam Joshi,"Asst. Professor, Dept of CSE",ITM Gwalior,Contributor,Robotic Assistance in Cesarean Section: Safety Efficacy And Patient Outcomes,Robotic Assistance in Cesarean Section Safety Efficacy And Patient Outcomes,EMERGING TRENDS OF ENGINEERINGAND TECHNOLOGY BASED INNOVITATION IN CHILD CARE,"Tuesday, January 14, 2020",Xoffencer International Publication
1984,978-81-978432-0-4,Mr. Rajkumar Rajoria,"Associate Professor, Dept of EC",ITM Gwalior,Contributor,Robotic Assistance in Cesarean Section: Safety Efficacy And Patient Outcomes,Robotic Assistance in Cesarean Section Safety Efficacy And Patient Outcomes,EMERGING TRENDS OF ENGINEERINGAND TECHNOLOGY BASED INNOVITATION IN CHILD CARE,"Tuesday, January 14, 2020",Xoffencer International Publication
1985,978-81-978432-0-4,Ms. Neelam Joshi,"Asst. Professor, Dept of CSE",ITM Gwalior,Contributor,Advances in Breastfeeding Support Devices for Postpartum Care,Advances in Breastfeeding Support Devices for Postpartum Care,EMERGING TRENDS OF ENGINEERINGAND TECHNOLOGY BASED INNOVITATION IN CHILD CARE,"Tuesday, January 14, 2020",Xoffencer International Publication
1986,978-81-978432-0-4,Mr. Shushant Kumar Jain,"Associate Professor, Dept of EC",ITM Gwalior,Contributor,Advances in Breastfeeding Support Devices for Postpartum Care,Advances in Breastfeeding Support Devices for Postpartum Care,EMERGING TRENDS OF ENGINEERINGAND TECHNOLOGY BASED INNOVITATION IN CHILD CARE,"Tuesday, January 14, 2020",Xoffencer International Publication
1987,978-81-978432-0-4,Mr. Mahendra Singh Bhadoria,"Asst. Professor, Dept of Mathematics",ITM Gwalior,Contributor,Advances in Breastfeeding Support Devices for Postpartum Care,Advances in Breastfeeding Support Devices for Postpartum Care,EMERGING TRENDS OF ENGINEERINGAND TECHNOLOGY BASED INNOVITATION IN CHILD CARE,"Tuesday, January 14, 2020",Xoffencer International Publication
1988,978-81-978432-0-4,Mr. Deepak Sharma,"Asst. Professor, Dept of ME",ITM Gwalior,Contributor,Human-Centred Design in Neonatal Intensive Care Unit Layouts,HumanCentred Design in Neonatal Intensive Care Unit Layouts,EMERGING TRENDS OF ENGINEERINGAND TECHNOLOGY BASED INNOVITATION IN CHILD CARE,"Tuesday, January 14, 2020",Xoffencer International Publication
1989,978-81-978432-0-4,Mr. Ishwar Gupta,"Asst. Professor, Dept of ME",ITM Gwalior,Contributor,Human-Centred Design in Neonatal Intensive Care Unit Layouts,HumanCentred Design in Neonatal Intensive Care Unit Layouts,EMERGING TRENDS OF ENGINEERINGAND TECHNOLOGY BASED INNOVITATION IN CHILD CARE,"Tuesday, January 14, 2020",Xoffencer International Publication
1990,978-81-978432-0-4,Mr. Shyam Singh Rawat,"Asst. Professor, Dept of ME",ITM Gwalior,Contributor,Human-Centred Design in Neonatal Intensive Care Unit Layouts,HumanCentred Design in Neonatal Intensive Care Unit Layouts,EMERGING TRENDS OF ENGINEERINGAND TECHNOLOGY BASED INNOVITATION IN CHILD CARE,"Tuesday, January 14, 2020",Xoffencer International Publication
1991,978-81-978432-0-4,Dr. Manoj Mishra,"Professor, Dept of Humanities",ITM Gwalior,Contributor,Barriers and Facilitators to Adopting Mechanical Innovations in Maternal and Newborn Care,Barriers and Facilitators to Adopting Mechanical Innovations in Maternal and Newborn Care,EMERGING TRENDS OF ENGINEERINGAND TECHNOLOGY BASED INNOVITATION IN CHILD CARE,"Tuesday, January 14, 2020",Xoffencer International Publication
1992,978-81-978432-0-4,Mr. Vineet Shrivastava,"Asst. Professor, Dept of EC",ITM Gwalior,Contributor,Barriers and Facilitators to Adopting Mechanical Innovations in Maternal and Newborn Care,Barriers and Facilitators to Adopting Mechanical Innovations in Maternal and Newborn Care,EMERGING TRENDS OF ENGINEERINGAND TECHNOLOGY BASED INNOVITATION IN CHILD CARE,"Tuesday, January 14, 2020",Xoffencer International Publication
1993,978-81-978432-0-4,Dr. Vipin Shrotriya,"Asst. Professor, Dept of Physics",ITM Gwalior,Contributor,Barriers and Facilitators to Adopting Mechanical Innovations in Maternal and Newborn Care,Barriers and Facilitators to Adopting Mechanical Innovations in Maternal and Newborn Care,EMERGING TRENDS OF ENGINEERINGAND TECHNOLOGY BASED INNOVITATION IN CHILD CARE,"Tuesday, January 14, 2020",Xoffencer International Publication
1994,978-81-978432-0-4,Mr. Ajeet Singh Sikarwar,"Asst. Professor, Dept of ME",ITM Gwalior,Contributor,Barriers and Facilitators to Adopting Mechanical Innovations in Maternal and Newborn Care,Barriers and Facilitators to Adopting Mechanical Innovations in Maternal and Newborn Care,EMERGING TRENDS OF ENGINEERINGAND TECHNOLOGY BASED INNOVITATION IN CHILD CARE,"Tuesday, January 14, 2020",Xoffencer International Publication
1995,978-81-978432-0-4,Ms. Neelam Joshi,"Asst. Professor, Dept of CSE",ITM Gwalior,Contributor,Integration of Biomechanics and Obstetrics: Enhancing Understanding and Treatment,Integration of Biomechanics and Obstetrics Enhancing Understanding and Treatment,EMERGING TRENDS OF ENGINEERINGAND TECHNOLOGY BASED INNOVITATION IN CHILD CARE,"Tuesday, January 14, 2020",Xoffencer International Publication
1996,978-81-978432-0-4,Mr. Ishwar Gupta,"Asst. Professor, Dept of ME",ITM Gwalior,Contributor,Integration of Biomechanics and Obstetrics: Enhancing Understanding and Treatment,Integration of Biomechanics and Obstetrics Enhancing Understanding and Treatment,EMERGING TRENDS OF ENGINEERINGAND TECHNOLOGY BASED INNOVITATION IN CHILD CARE,"Tuesday, January 14, 2020",Xoffencer International Publication
1997,978-81-978432-0-4,Ms. Neelam Baghel,"Asst. Professor, Dept of ME",ITM Gwalior,Contributor,Integration of Biomechanics and Obstetrics: Enhancing Understanding and Treatment,Integration of Biomechanics and Obstetrics Enhancing Understanding and Treatment,EMERGING TRENDS OF ENGINEERINGAND TECHNOLOGY BASED INNOVITATION IN CHILD CARE,"Tuesday, January 14, 2020",Xoffencer International Publication
1998,978-81-978432-0-4,Dr. Manoj Bandil,"Associate Professor, Dept of EE",ITM Gwalior,Contributor,Integration of Biomechanics and Obstetrics: Enhancing Understanding and Treatment,Integration of Biomechanics and Obstetrics Enhancing Understanding and Treatment,EMERGING TRENDS OF ENGINEERINGAND TECHNOLOGY BASED INNOVITATION IN CHILD CARE,"Tuesday, January 14, 2020",Xoffencer International Publication
1999,978-81-978432-0-4,Mr. Gaurav Dubey,"Asst. Professor, Dept of CSE",ITM Gwalior,Contributor,The Role of Telemedicine in Enhancing Maternal and Newborn Health Outcomes,The Role of Telemedicine in Enhancing Maternal and Newborn Health Outcomes,EMERGING TRENDS OF ENGINEERINGAND TECHNOLOGY BASED INNOVITATION IN CHILD CARE,"Tuesday, January 14, 2020",Xoffencer International Publication
2000,978-81-978432-0-4,Ms. Priusha Narwaria,"Asst. Professor, Dept of CSE",ITM Gwalior,Contributor,The Role of Telemedicine in Enhancing Maternal and Newborn Health Outcomes,The Role of Telemedicine in Enhancing Maternal and Newborn Health Outcomes,EMERGING TRENDS OF ENGINEERINGAND TECHNOLOGY BASED INNOVITATION IN CHILD CARE,"Tuesday, January 14, 2020",Xoffencer International Publication
2001,978-81-978432-0-4,Ms. Deepika Saraswat,"Asst. Professor, Dept of CSE",ITM Gwalior,Contributor,The Role of Telemedicine in Enhancing Maternal and Newborn Health Outcomes,The Role of Telemedicine in Enhancing Maternal and Newborn Health Outcomes,EMERGING TRENDS OF ENGINEERINGAND TECHNOLOGY BASED INNOVITATION IN CHILD CARE,"Tuesday, January 14, 2020",Xoffencer International Publication
2002,978-81-978432-0-4,Mr. Mahendra Singh Bhadoria,"Asst. Professor, Dept of Mathematics",ITM Gwalior,Contributor,Advancements in Wearable Technology for Monitoring Maternal and Fetal Health,Advancements in Wearable Technology for Monitoring Maternal and Fetal Health,EMERGING TRENDS OF ENGINEERINGAND TECHNOLOGY BASED INNOVITATION IN CHILD CARE,"Tuesday, January 14, 2020",Xoffencer International Publication
2003,978-81-978432-0-4,Dr. Megha Ajeet Lahane,"Associate , Dept of Humanities",ITM Gwalior,Contributor,Advancements in Wearable Technology for Monitoring Maternal and Fetal Health,Advancements in Wearable Technology for Monitoring Maternal and Fetal Health,EMERGING TRENDS OF ENGINEERINGAND TECHNOLOGY BASED INNOVITATION IN CHILD CARE,"Tuesday, January 14, 2020",Xoffencer International Publication
2004,978-81-978432-0-4,Dr. Manoj Mishra,"Professor, Dept of Humanities",ITM Gwalior,Contributor,Advancements in Wearable Technology for Monitoring Maternal and Fetal Health,Advancements in Wearable Technology for Monitoring Maternal and Fetal Health,EMERGING TRENDS OF ENGINEERINGAND TECHNOLOGY BASED INNOVITATION IN CHILD CARE,"Tuesday, January 14, 2020",Xoffencer International Publication
2005,978-81-978432-0-4,Mr. Desh Deepak Shrivastava,"Asst. Professor, Dept of CSE",ITM Gwalior,Contributor,Advancements in Wearable Technology for Monitoring Maternal and Fetal Health,Advancements in Wearable Technology for Monitoring Maternal and Fetal Health,EMERGING TRENDS OF ENGINEERINGAND TECHNOLOGY BASED INNOVITATION IN CHILD CARE,"Tuesday, January 14, 2020",Xoffencer International Publication
2006,978-81-978432-0-4,Mr. Shushant Kumar Jain,"Associate Professor, Dept of EC",ITM Gwalior,Contributor,Addressing Health Disparities in Maternal and Newborn Care,Addressing Health Disparities in Maternal and Newborn Care,EMERGING TRENDS OF ENGINEERINGAND TECHNOLOGY BASED INNOVITATION IN CHILD CARE,"Tuesday, January 14, 2020",Xoffencer International Publication
2007,978-81-978432-0-4,Mr. Shyam Babu,"Asst. Professor, Dept of EC",ITM Gwalior,Contributor,Addressing Health Disparities in Maternal and Newborn Care,Addressing Health Disparities in Maternal and Newborn Care,EMERGING TRENDS OF ENGINEERINGAND TECHNOLOGY BASED INNOVITATION IN CHILD CARE,"Tuesday, January 14, 2020",Xoffencer International Publication
2008,978-81-978432-0-4,Dr. Meghna Sharma,"Asst. Professor, Dept of Humanities",ITM Gwalior,Contributor,Addressing Health Disparities in Maternal and Newborn Care,Addressing Health Disparities in Maternal and Newborn Care,EMERGING TRENDS OF ENGINEERINGAND TECHNOLOGY BASED INNOVITATION IN CHILD CARE,"Tuesday, January 14, 2020",Xoffencer International Publication
2009,978-81-978432-0-4,Mr. Nitin Dixit,"Asst. Professor, Dept of CSE",ITM Gwalior,Contributor,Artificial Intelligence and Machine Learning in Predicting Preterm Birth,Artificial Intelligence and Machine Learning in Predicting Preterm Birth,EMERGING TRENDS OF ENGINEERINGAND TECHNOLOGY BASED INNOVITATION IN CHILD CARE,"Tuesday, January 14, 2020",Xoffencer International Publication
2010,978-81-978432-0-4,Mr. Amit Jain,"Asst. Professor, Dept of ME",ITM Gwalior,Contributor,Artificial Intelligence and Machine Learning in Predicting Preterm Birth,Artificial Intelligence and Machine Learning in Predicting Preterm Birth,EMERGING TRENDS OF ENGINEERINGAND TECHNOLOGY BASED INNOVITATION IN CHILD CARE,"Tuesday, January 14, 2020",Xoffencer International Publication
2011,978-81-978432-0-4,Ms. Archana Tomar,"Asst. Professor, Dept of CSE",ITM Gwalior,Contributor,Artificial Intelligence and Machine Learning in Predicting Preterm Birth,Artificial Intelligence and Machine Learning in Predicting Preterm Birth,EMERGING TRENDS OF ENGINEERINGAND TECHNOLOGY BASED INNOVITATION IN CHILD CARE,"Tuesday, January 14, 2020",Xoffencer International Publication
2012,978-81-978432-0-4,Mr. Shyam Singh Rawat,"Asst. Professor, Dept of ME",ITM Gwalior,Contributor,Artificial Intelligence and Machine Learning in Predicting Preterm Birth,Artificial Intelligence and Machine Learning in Predicting Preterm Birth,EMERGING TRENDS OF ENGINEERINGAND TECHNOLOGY BASED INNOVITATION IN CHILD CARE,"Tuesday, January 14, 2020",Xoffencer International Publication
2013,978-81-978432-0-4,Mr. Amit Kumar Tiwari,"Asst. Professor, Dept of ME",ITM Gwalior,Contributor,Barriers to Accessing Quality Maternal Health Care in Rural Areas,Barriers to Accessing Quality Maternal Health Care in Rural Areas,EMERGING TRENDS OF ENGINEERINGAND TECHNOLOGY BASED INNOVITATION IN CHILD CARE,"Tuesday, January 14, 2020",Xoffencer International Publication
2014,978-81-978432-0-4,Mr. Mahendra Singh Bhadoria,"Asst. Professor, Dept of Mathematics",ITM Gwalior,Contributor,Barriers to Accessing Quality Maternal Health Care in Rural Areas,Barriers to Accessing Quality Maternal Health Care in Rural Areas,EMERGING TRENDS OF ENGINEERINGAND TECHNOLOGY BASED INNOVITATION IN CHILD CARE,"Tuesday, January 14, 2020",Xoffencer International Publication
2015,978-81-978432-0-4,Mr. Rajkumar Rajoria,"Associate Professor, Dept of EC",ITM Gwalior,Contributor,Barriers to Accessing Quality Maternal Health Care in Rural Areas,Barriers to Accessing Quality Maternal Health Care in Rural Areas,EMERGING TRENDS OF ENGINEERINGAND TECHNOLOGY BASED INNOVITATION IN CHILD CARE,"Tuesday, January 14, 2020",Xoffencer International Publication
2016,978-81-978432-0-4,Mr. Akash Jain,"Asst. Professor, Dept of CE",ITM Gwalior,Contributor,Barriers to Accessing Quality Maternal Health Care in Rural Areas,Barriers to Accessing Quality Maternal Health Care in Rural Areas,EMERGING TRENDS OF ENGINEERINGAND TECHNOLOGY BASED INNOVITATION IN CHILD CARE,"Tuesday, January 14, 2020",Xoffencer International Publication
2017,978-81-978432-0-4,Dr. Meghna Sharma,"Asst. Professor, Dept of Humanities",ITM Gwalior,Contributor,The Impact of Healthcare Workforce Shortages on Maternal and Newborn Care,The Impact of Healthcare Workforce Shortages on Maternal and Newborn Care,EMERGING TRENDS OF ENGINEERINGAND TECHNOLOGY BASED INNOVITATION IN CHILD CARE,"Tuesday, January 14, 2020",Xoffencer International Publication
2018,978-81-978432-0-4,Dr. Mahendra Bhadoria,"Associate Professor, Dept of Mathematics",ITM Gwalior,Contributor,The Impact of Healthcare Workforce Shortages on Maternal and Newborn Care,The Impact of Healthcare Workforce Shortages on Maternal and Newborn Care,EMERGING TRENDS OF ENGINEERINGAND TECHNOLOGY BASED INNOVITATION IN CHILD CARE,"Tuesday, January 14, 2020",Xoffencer International Publication
2019,978-81-978432-0-4,Mr. Akash Jain,"Asst. Professor, Dept of CE",ITM Gwalior,Contributor,The Impact of Healthcare Workforce Shortages on Maternal and Newborn Care,The Impact of Healthcare Workforce Shortages on Maternal and Newborn Care,EMERGING TRENDS OF ENGINEERINGAND TECHNOLOGY BASED INNOVITATION IN CHILD CARE,"Tuesday, January 14, 2020",Xoffencer International Publication
2020,978-81-978432-0-4,Mr. Narendra Kumar Verma,"Asst. Professor, Dept of ME",ITM Gwalior,Contributor,The Impact of Healthcare Workforce Shortages on Maternal and Newborn Care,The Impact of Healthcare Workforce Shortages on Maternal and Newborn Care,EMERGING TRENDS OF ENGINEERINGAND TECHNOLOGY BASED INNOVITATION IN CHILD CARE,"Tuesday, January 14, 2020",Xoffencer International Publication
2021,978-81-978432-0-4,Ms. Sapna Kushwaha,"Asst. Professor, Dept of CSE",ITM Gwalior,Contributor,Challenges in Providing Comprehensive Postpartum Care and Support,Challenges in Providing Comprehensive Postpartum Care and Support,EMERGING TRENDS OF ENGINEERINGAND TECHNOLOGY BASED INNOVITATION IN CHILD CARE,"Tuesday, January 14, 2020",Xoffencer International Publication
2022,978-81-978432-0-4,Dr. Manoj Bandil,"Associate Professor, Dept of EE",ITM Gwalior,Contributor,Challenges in Providing Comprehensive Postpartum Care and Support,Challenges in Providing Comprehensive Postpartum Care and Support,EMERGING TRENDS OF ENGINEERINGAND TECHNOLOGY BASED INNOVITATION IN CHILD CARE,"Tuesday, January 14, 2020",Xoffencer International Publication
2023,978-81-978432-0-4,Mr. Arun Agrawal,"Asst. Professor, Dept of CSE",ITM Gwalior,Contributor,Challenges in Providing Comprehensive Postpartum Care and Support,Challenges in Providing Comprehensive Postpartum Care and Support,EMERGING TRENDS OF ENGINEERINGAND TECHNOLOGY BASED INNOVITATION IN CHILD CARE,"Tuesday, January 14, 2020",Xoffencer International Publication
2024,978-81-978432-0-4,Dr. Prashant Sharma,"Asst. Professor, Dept of MBA",ITM Gwalior,Contributor,Challenges in Providing Comprehensive Postpartum Care and Support,Challenges in Providing Comprehensive Postpartum Care and Support,EMERGING TRENDS OF ENGINEERINGAND TECHNOLOGY BASED INNOVITATION IN CHILD CARE,"Tuesday, January 14, 2020",Xoffencer International Publication
2025,978-81-978432-0-4,Ms. Neelam Baghel,"Asst. Professor, Dept of ME",ITM Gwalior,Contributor,The Impact of Health Workforce Shortages on Maternal and Newborn Care Quality,The Impact of Health Workforce Shortages on Maternal and Newborn Care Quality,EMERGING TRENDS OF ENGINEERINGAND TECHNOLOGY BASED INNOVITATION IN CHILD CARE,"Tuesday, January 14, 2020",Xoffencer International Publication
2026,978-81-978432-0-4,Ms. Aruna Bajpai,"Asst. Professor, Dept of CSE",ITM Gwalior,Contributor,The Impact of Health Workforce Shortages on Maternal and Newborn Care Quality,The Impact of Health Workforce Shortages on Maternal and Newborn Care Quality,EMERGING TRENDS OF ENGINEERINGAND TECHNOLOGY BASED INNOVITATION IN CHILD CARE,"Tuesday, January 14, 2020",Xoffencer International Publication
2027,978-81-978432-0-4,Dr. Megha Ajeet Lahane,"Associate , Dept of Humanities",ITM Gwalior,Contributor,The Impact of Health Workforce Shortages on Maternal and Newborn Care Quality,The Impact of Health Workforce Shortages on Maternal and Newborn Care Quality,EMERGING TRENDS OF ENGINEERINGAND TECHNOLOGY BASED INNOVITATION IN CHILD CARE,"Tuesday, January 14, 2020",Xoffencer International Publication
2028,978-81-978432-0-4,Ms. Neelam Joshi,"Asst. Professor, Dept of CSE",ITM Gwalior,Contributor,The Impact of Health Workforce Shortages on Maternal and Newborn Care Quality,The Impact of Health Workforce Shortages on Maternal and Newborn Care Quality,EMERGING TRENDS OF ENGINEERINGAND TECHNOLOGY BASED INNOVITATION IN CHILD CARE,"Tuesday, January 14, 2020",Xoffencer International Publication
2029,978-81-978432-0-4,Dr. Satyendra Singh Chauhan,"Professor, Dept of Physics",ITM Gwalior,Contributor,Managing Maternal and Newborn Health During Public Health Emergencies,Managing Maternal and Newborn Health During Public Health Emergencies,EMERGING TRENDS OF ENGINEERINGAND TECHNOLOGY BASED INNOVITATION IN CHILD CARE,"Tuesday, January 14, 2020",Xoffencer International Publication
2030,978-81-978432-0-4,Dr. Prashant Shrivastava,"Associate Professor, Dept of CM",ITM Gwalior,Contributor,Managing Maternal and Newborn Health During Public Health Emergencies,Managing Maternal and Newborn Health During Public Health Emergencies,EMERGING TRENDS OF ENGINEERINGAND TECHNOLOGY BASED INNOVITATION IN CHILD CARE,"Tuesday, January 14, 2020",Xoffencer International Publication
2031,978-81-978432-0-4,Ms. Rashmi Pandey,"Asst. Professor, Dept of EC",ITM Gwalior,Contributor,Managing Maternal and Newborn Health During Public Health Emergencies,Managing Maternal and Newborn Health During Public Health Emergencies,EMERGING TRENDS OF ENGINEERINGAND TECHNOLOGY BASED INNOVITATION IN CHILD CARE,"Tuesday, January 14, 2020",Xoffencer International Publication
2032,978-81-978432-0-4,Mr. Kapil Jain,"Associate Professor, Dept of EC",ITM Gwalior,Contributor,Managing Maternal and Newborn Health During Public Health Emergencies,Managing Maternal and Newborn Health During Public Health Emergencies,EMERGING TRENDS OF ENGINEERINGAND TECHNOLOGY BASED INNOVITATION IN CHILD CARE,"Tuesday, January 14, 2020",Xoffencer International Publication
2033,978-81-978432-0-4,Dr. Rishi Soni,"Professor, Dept of CSE",ITM Gwalior,Contributor,The Impact of Genomic Medicine on Personalized Newborn Care,The Impact of Genomic Medicine on Personalized Newborn Care,EMERGING TRENDS OF ENGINEERINGAND TECHNOLOGY BASED INNOVITATION IN CHILD CARE,"Tuesday, January 14, 2020",Xoffencer International Publication
2034,978-81-978432-0-4,Ms. Sapna Kushwaha,"Asst. Professor, Dept of CSE",ITM Gwalior,Contributor,The Impact of Genomic Medicine on Personalized Newborn Care,The Impact of Genomic Medicine on Personalized Newborn Care,EMERGING TRENDS OF ENGINEERINGAND TECHNOLOGY BASED INNOVITATION IN CHILD CARE,"Tuesday, January 14, 2020",Xoffencer International Publication
2035,978-81-978432-0-4,Dr. Preeti Singh,Professor,ITM Gwalior,Contributor,The Impact of Genomic Medicine on Personalized Newborn Care,The Impact of Genomic Medicine on Personalized Newborn Care,EMERGING TRENDS OF ENGINEERINGAND TECHNOLOGY BASED INNOVITATION IN CHILD CARE,"Tuesday, January 14, 2020",Xoffencer International Publication
2036,978-81-978432-0-4,Mr. Shushant Kumar Jain,"Associate Professor, Dept of EC",ITM Gwalior,Contributor,Virtual Reality for Labor Pain Management and Birthing Preparation,Virtual Reality for Labor Pain Management and Birthing Preparation,EMERGING TRENDS OF ENGINEERINGAND TECHNOLOGY BASED INNOVITATION IN CHILD CARE,"Tuesday, January 14, 2020",Xoffencer International Publication
2037,978-81-978432-0-4,Mr. Nitin Dixit,"Asst. Professor, Dept of CSE",ITM Gwalior,Contributor,Virtual Reality for Labor Pain Management and Birthing Preparation,Virtual Reality for Labor Pain Management and Birthing Preparation,EMERGING TRENDS OF ENGINEERINGAND TECHNOLOGY BASED INNOVITATION IN CHILD CARE,"Tuesday, January 14, 2020",Xoffencer International Publication
2038,978-81-978432-0-4,Dr. Manoj Mishra,"Professor, Dept of Humanities",ITM Gwalior,Contributor,Virtual Reality for Labor Pain Management and Birthing Preparation,Virtual Reality for Labor Pain Management and Birthing Preparation,EMERGING TRENDS OF ENGINEERINGAND TECHNOLOGY BASED INNOVITATION IN CHILD CARE,"Tuesday, January 14, 2020",Xoffencer International Publication
2039,978-81-978432-0-4,Ms. Rakhi Sunny Arora,"Asst. Professor, Dept of CSE",ITM Gwalior,Contributor,Virtual Reality for Labor Pain Management and Birthing Preparation,Virtual Reality for Labor Pain Management and Birthing Preparation,EMERGING TRENDS OF ENGINEERINGAND TECHNOLOGY BASED INNOVITATION IN CHILD CARE,"Tuesday, January 14, 2020",Xoffencer International Publication
2040,978-81-978432-0-4,Ms. Archana Tomar,"Asst. Professor, Dept of CSE",ITM Gwalior,Contributor,Addressing the Global Burden of Maternal and Newborn Mortality,Addressing the Global Burden of Maternal and Newborn Mortality,EMERGING TRENDS OF ENGINEERINGAND TECHNOLOGY BASED INNOVITATION IN CHILD CARE,"Tuesday, January 14, 2020",Xoffencer International Publication
2041,978-81-978432-0-4,Dr. Ankit Gupta,"Associate Professor, Dept of MBA",ITM Gwalior,Contributor,Addressing the Global Burden of Maternal and Newborn Mortality,Addressing the Global Burden of Maternal and Newborn Mortality,EMERGING TRENDS OF ENGINEERINGAND TECHNOLOGY BASED INNOVITATION IN CHILD CARE,"Tuesday, January 14, 2020",Xoffencer International Publication
2042,978-81-978432-0-4,Ms. Rakhi Sunny Arora,"Asst. Professor, Dept of CSE",ITM Gwalior,Contributor,Addressing the Global Burden of Maternal and Newborn Mortality,Addressing the Global Burden of Maternal and Newborn Mortality,EMERGING TRENDS OF ENGINEERINGAND TECHNOLOGY BASED INNOVITATION IN CHILD CARE,"Tuesday, January 14, 2020",Xoffencer International Publication
2043,978-81-978432-0-4,Mr. Deepak Sharma,"Asst. Professor, Dept of ME",ITM Gwalior,Contributor,Addressing the Global Burden of Maternal and Newborn Mortality,Addressing the Global Burden of Maternal and Newborn Mortality,EMERGING TRENDS OF ENGINEERINGAND TECHNOLOGY BASED INNOVITATION IN CHILD CARE,"Tuesday, January 14, 2020",Xoffencer International Publication
2044,978-81-978432-0-4,Mr. Amit Kumar Tiwari,"Asst. Professor, Dept of ME",ITM Gwalior,Contributor,Economic Barriers to Accessing Advanced Maternal and Newborn Care,Economic Barriers to Accessing Advanced Maternal and Newborn Care,EMERGING TRENDS OF ENGINEERINGAND TECHNOLOGY BASED INNOVITATION IN CHILD CARE,"Tuesday, January 14, 2020",Xoffencer International Publication
